student_id,course_id,dAte,status
S017,EE101,2024-09-04,Present
S017,EE101,2024-09-09,Present
S017,CS101,2024-09-01,Present
S017,CS101,2024-09-03,Present
S018,ME101,2024-09-01,Present
S018,ME101,2024-09-03,Present
S018,ME101,2024-09-08,Present
S018,ME201,2024-09-02,Present
S018,ME201,2024-09-04,Present
S018,CS202,2024-09-03,Present
S018,CS202,2024-09-05,Present
S019,CS101,2024-09-01,Present
S019,CS101,2024-09-03,Present
S019,CS101,2024-09-05,Present
S019,CS101,2024-09-08,Present
S019,CS201,2024-09-02,Present
S019,CS201,2024-09-04,Present
S019,CS102,2024-09-02,Present
S019,CS102,2024-09-04,Present
S020,CS201,2024-09-02,Present
S020,CS201,2024-09-04,Present
S020,CS201,2024-09-09,Present
S020,CS301,2024-09-01,Present
S020,CS301,2024-09-06,Absent
S020,CS401,2024-09-03,Present
S020,CS401,2024-09-05,Present
S021,EE101,2024-09-02,Absent
S021,EE101,2024-09-04,Absent
S021,EE101,2024-09-09,Absent
S021,EE201,2024-09-03,Present
S021,EE201,2024-09-05,Present
S021,CS101,2024-09-01,Present
S021,CS101,2024-09-03,Present
S022,CS101,2024-09-01,Present
S022,CS101,2024-09-03,Present
S022,CS101,2024-09-05,Present
S022,CS102,2024-09-02,Present
S022,CS102,2024-09-04,Present
S023,ME101,2024-09-01,Present
S023,ME101,2024-09-03,Present
S023,ME101,2024-09-08,Present
S023,ME201,2024-09-02,Absent
S023,ME201,2024-09-04,Present
S023,CS101,2024-09-01,Present
S023,CS101,2024-09-03,Present
S024,EE101,2024-09-02,Present
S024,EE101,2024-09-04,Present
S024,EE101,2024-09-09,Present
S024,EE201,2024-09-03,Present
S024,EE201,2024-09-05,Present
S024,CS401,2024-09-03,Present
S024,CS401,2024-09-05,Present
S024,CS202,2024-09-03,Present
S024,CS202,2024-09-05,Present
S025,CS201,2024-09-02,Present
S025,CS201,2024-09-04,Present
S025,CS201,2024-09-09,Present
S025,CS301,2024-09-01,Present
S025,CS301,2024-09-06,Present
S025,CS401,2024-09-03,Absent
S025,CS401,2024-09-05,Present
S026,CS101,2024-09-01,Present
S026,CS101,2024-09-03,Present
S026,CS101,2024-09-05,Absent
S026,CS201,2024-09-02,Present
S026,CS201,2024-09-04,Present
S026,CS102,2024-09-02,Present
S026,CS102,2024-09-04,Present
S027,EE101,2024-09-02,Present
S027,EE101,2024-09-04,Present
S027,EE101,2024-09-09,Present
S027,CS101,2024-09-01,Present
S027,CS101,2024-09-03,Present
S028,ME101,2024-09-01,Present
S028,ME101,2024-09-03,Absent
S028,ME101,2024-09-08,Present
S028,ME201,2024-09-02,Present
S028,ME201,2024-09-04,Present
S028,CS201,2024-09-02,Present
S028,CS201,2024-09-04,Present
S029,CS301,2024-09-01,Present
S029,CS301,2024-09-06,Present
S029,CS301,2024-09-08,Present
S029,CS401,2024-09-03,Present
S029,CS401,2024-09-05,Present
S029,CS202,2024-09-03,Present
S029,CS202,2024-09-05,Present
S030,CS101,2024-09-01,Present
S030,CS101,2024-09-03,Absent
S030,CS101,2024-09-05,Present
S030,CS201,2024-09-02,Present
S030,CS201,2024-09-04,Present
S030,CS301,2024-09-01,Present
S030,CS301,2024-09-06,Present
S031,EE101,2024-09-02,Present
S031,EE101,2024-09-04,Present
S031,EE101,2024-09-09,Absent
S031,EE201,2024-09-03,Present
S031,EE201,2024-09-05,Present
S031,CS202,2024-09-03,Present
S031,CS202,2024-09-05,Present
S032,CS101,2024-09-01,Present
S032,CS101,2024-09-03,Present
S032,CS101,2024-09-05,Present
S032,CS102,2024-09-02,Present
S032,CS102,2024-09-04,Present
S033,ME101,2024-09-01,Absent
S033,ME101,2024-09-03,Absent
S033,ME101,2024-09-08,Present
S033,ME201,2024-09-02,Present
S033,ME201,2024-09-04,Present
S033,CS101,2024-09-01,Present
S033,CS101,2024-09-03,Present
S034,EE101,2024-09-02,Present
S034,EE101,2024-09-04,Present
S034,EE101,2024-09-09,Present
S034,EE201,2024-09-03,Present
S034,EE201,2024-09-05,Present
S034,CS101,2024-09-01,Present
S034,CS101,2024-09-03,Present
S035,CS201,2024-09-02,Present
S035,CS201,2024-09-04,Present
S035,CS201,2024-09-09,Present
S035,CS301,2024-09-01,Present
S035,CS301,2024-09-06,Present
S035,CS401,2024-09-03,Present
S035,CS401,2024-09-05,Present
S036,CS301,2024-09-01,Present
S036,CS301,2024-09-06,Present
S036,CS301,2024-09-08,Present
S036,CS401,2024-09-03,Absent
S036,CS401,2024-09-05,Absent
S036,CS202,2024-09-03,Present
S036,CS202,2024-09-05,Present
S037,EE101,2024-09-02,Present
S037,EE101,2024-09-04,Present
S037,EE101,2024-09-09,Present
S037,CS101,2024-09-01,Present
S037,CS101,2024-09-03,Present
S038,ME101,2024-09-01,Present
S038,ME101,2024-09-03,Present
S038,ME101,2024-09-08,Present
S038,ME201,2024-09-02,Present
S038,ME201,2024-09-04,Present
S038,CS202,2024-09-03,Absent
S038,CS202,2024-09-05,Present
S039,CS101,2024-09-01,Absent
S039,CS101,2024-09-03,Absent
S039,CS101,2024-09-05,Present
S039,CS101,2024-09-08,Present
S039,CS201,2024-09-02,Present
S039,CS201,2024-09-04,Present
S039,CS102,2024-09-02,Present
S039,CS102,2024-09-04,Present
S040,CS101,2024-09-01,Present
S040,CS101,2024-09-03,Present
S040,CS101,2024-09-05,Present
S040,CS102,2024-09-02,Present
S040,CS102,2024-09-04,Present
